job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log,best_avg_truck_wait_per_trip,best_avg_drone_wait_per_trip,best_multi_avg_truck_wait_per_trip,best_multi_avg_drone_wait_per_trip
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,60,1,473,"[[[[0, [11, 13, 14, 12, 32, 31, 10, 9, 8, 29, 30, 16, 15, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]], [11, [36, 35, 38, 37]], [13, []], [14, []], [12, []], [32, []], [31, []], [10, [46, 47, 48, 49]], [9, []], [8, []], [29, []], [30, []], [46, []], [47, []], [48, []], [49, []], [16, []], [15, []], [4, []], [3, []], [36, []], [35, []], [28, []], [37, []], [38, []], [27, []], [26, []], [25, []], [24, []], [23, []], [22, []], [1, []]], [[0, [6, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 7, 5, 2]], [6, [50, 45, 44]], [21, []], [39, []], [40, []], [41, []], [42, []], [43, []], [50, []], [20, []], [19, []], [18, []], [17, []], [45, []], [44, []], [34, []], [33, []], [7, []], [5, []], [2, []]]], [[[6, [50, 45, 44]]], [[11, [36, 35, 38, 37]]], [[10, [46, 47, 48, 49]]]]]",,,32.74051352,0,3,3.666666667,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,(not found),,0.333333333,0,,
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,90,1,473,"[[[[0, [11, 13, 14, 12, 32, 31, 10, 9, 8, 29, 30, 16, 15, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]], [11, [36, 35, 38, 37]], [13, []], [14, []], [12, []], [32, []], [31, []], [10, [46, 47, 48, 49]], [9, []], [8, []], [29, []], [30, []], [46, []], [47, []], [48, []], [49, []], [16, []], [15, []], [4, []], [3, []], [36, []], [35, []], [28, []], [37, []], [38, []], [27, []], [26, []], [25, []], [24, []], [23, []], [22, []], [1, []]], [[0, [6, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 7, 5, 2]], [6, [50, 45, 44]], [21, []], [39, []], [40, []], [41, []], [42, []], [43, []], [50, []], [20, []], [19, []], [18, []], [17, []], [45, []], [44, []], [34, []], [33, []], [7, []], [5, []], [2, []]]], [[[6, [50, 45, 44]]], [[11, [36, 35, 38, 37]]], [[10, [46, 47, 48, 49]]]]]",,,32.74051352,0,3,3.666666667,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,A4L90<=A4L60,0.333333333,0,,
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,120,1,473,"[[[[0, [11, 13, 14, 12, 32, 31, 10, 9, 8, 29, 30, 16, 15, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]], [11, [36, 35, 38, 37]], [13, []], [14, []], [12, []], [32, []], [31, []], [10, [46, 47, 48, 49]], [9, []], [8, []], [29, []], [30, []], [46, []], [47, []], [48, []], [49, []], [16, []], [15, []], [4, []], [3, []], [36, []], [35, []], [28, []], [37, []], [38, []], [27, []], [26, []], [25, []], [24, []], [23, []], [22, []], [1, []]], [[0, [6, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 7, 5, 2]], [6, [50, 45, 44]], [21, []], [39, []], [40, []], [41, []], [42, []], [43, []], [50, []], [20, []], [19, []], [18, []], [17, []], [45, []], [44, []], [34, []], [33, []], [7, []], [5, []], [2, []]]], [[[6, [50, 45, 44]]], [[11, [36, 35, 38, 37]]], [[10, [46, 47, 48, 49]]]]]",,,32.74051352,0,3,3.666666667,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,A4L120<=A4L90,0.333333333,0,,
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,60,1,473,"[[[[0, [11, 13, 14, 12, 32, 31, 10, 9, 8, 29, 30, 16, 15, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]], [11, [36, 35, 38, 37]], [13, []], [14, []], [12, []], [32, []], [31, []], [10, [46, 47, 48, 49]], [9, []], [8, []], [29, []], [30, []], [46, []], [47, []], [48, []], [49, []], [16, []], [15, []], [4, []], [3, []], [36, []], [35, []], [28, []], [37, []], [38, []], [27, []], [26, []], [25, []], [24, []], [23, []], [22, []], [1, []]], [[0, [6, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 7, 5, 2]], [6, [50, 45, 44]], [21, []], [39, []], [40, []], [41, []], [42, []], [43, []], [50, []], [20, []], [19, []], [18, []], [17, []], [45, []], [44, []], [34, []], [33, []], [7, []], [5, []], [2, []]]], [[[6, [50, 45, 44]]], [[11, [36, 35, 38, 37]]], [[10, [46, 47, 48, 49]]]]]",,,32.74051352,0,3,3.666666667,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,A8L60<=A4L60,0.333333333,0,,
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,90,1,473,"[[[[0, [11, 13, 14, 12, 32, 31, 10, 9, 8, 29, 30, 16, 15, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]], [11, [36, 35, 38, 37]], [13, []], [14, []], [12, []], [32, []], [31, []], [10, [46, 47, 48, 49]], [9, []], [8, []], [29, []], [30, []], [46, []], [47, []], [48, []], [49, []], [16, []], [15, []], [4, []], [3, []], [36, []], [35, []], [28, []], [37, []], [38, []], [27, []], [26, []], [25, []], [24, []], [23, []], [22, []], [1, []]], [[0, [6, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 7, 5, 2]], [6, [50, 45, 44]], [21, []], [39, []], [40, []], [41, []], [42, []], [43, []], [50, []], [20, []], [19, []], [18, []], [17, []], [45, []], [44, []], [34, []], [33, []], [7, []], [5, []], [2, []]]], [[[6, [50, 45, 44]]], [[11, [36, 35, 38, 37]]], [[10, [46, 47, 48, 49]]]]]",,,32.74051352,0,3,3.666666667,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,A8L90<=A4L90,0.333333333,0,,
6,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,120,1,473,"[[[[0, [11, 13, 14, 12, 32, 31, 10, 9, 8, 29, 30, 16, 15, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]], [11, [36, 35, 38, 37]], [13, []], [14, []], [12, []], [32, []], [31, []], [10, [46, 47, 48, 49]], [9, []], [8, []], [29, []], [30, []], [46, []], [47, []], [48, []], [49, []], [16, []], [15, []], [4, []], [3, []], [36, []], [35, []], [28, []], [37, []], [38, []], [27, []], [26, []], [25, []], [24, []], [23, []], [22, []], [1, []]], [[0, [6, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 7, 5, 2]], [6, [50, 45, 44]], [21, []], [39, []], [40, []], [41, []], [42, []], [43, []], [50, []], [20, []], [19, []], [18, []], [17, []], [45, []], [44, []], [34, []], [33, []], [7, []], [5, []], [2, []]]], [[[6, [50, 45, 44]]], [[11, [36, 35, 38, 37]]], [[10, [46, 47, 48, 49]]]]]",,,32.74051352,0,3,3.666666667,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2676.txt,,A8L120<=A4L120,0.333333333,0,,
7,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,60,3,650,"[[[[0, [10, 11, 12, 25, 26, 24, 23, 22, 21, 27, 45, 44, 50, 49, 48, 47, 46, 35, 34, 6, 5, 3, 2, 1]], [10, []], [11, []], [12, []], [25, []], [26, []], [24, []], [23, []], [22, []], [21, []], [27, []], [45, []], [44, []], [50, []], [49, []], [48, []], [47, []], [46, []], [35, []], [34, []], [6, []], [5, []], [3, []], [2, []], [1, []]], [[0, [13, 20, 4, 9, 8, 7, 36, 37, 43, 42, 41, 39, 38, 40, 33, 29, 28, 30, 32, 31, 19, 18, 17, 16, 15, 14]], [13, []], [20, []], [4, []], [9, []], [8, []], [7, []], [36, []], [37, []], [43, []], [42, []], [41, []], [39, []], [38, []], [40, []], [33, []], [29, []], [28, []], [30, []], [32, []], [31, []], [19, []], [18, []], [17, []], [16, []], [15, []], [14, []]]], []]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,(not found),,0,0,,
8,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,90,3,650,"[[[[0, [10, 11, 12, 25, 26, 24, 23, 22, 21, 27, 45, 44, 50, 49, 48, 47, 46, 35, 34, 6, 5, 3, 2, 1]], [10, []], [11, []], [12, []], [25, []], [26, []], [24, []], [23, []], [22, []], [21, []], [27, []], [45, []], [44, []], [50, []], [49, []], [48, []], [47, []], [46, []], [35, []], [34, []], [6, []], [5, []], [3, []], [2, []], [1, []]], [[0, [13, 20, 4, 9, 8, 7, 36, 37, 43, 42, 41, 39, 38, 40, 33, 29, 28, 30, 32, 31, 19, 18, 17, 16, 15, 14]], [13, []], [20, []], [4, []], [9, []], [8, []], [7, []], [36, []], [37, []], [43, []], [42, []], [41, []], [39, []], [38, []], [40, []], [33, []], [29, []], [28, []], [30, []], [32, []], [31, []], [19, []], [18, []], [17, []], [16, []], [15, []], [14, []]]], []]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,(not found),A4L90<=A4L60,0,0,,
9,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,120,3,650,"[[[[0, [10, 11, 12, 25, 26, 24, 23, 22, 21, 27, 45, 44, 50, 49, 48, 47, 46, 35, 34, 6, 5, 3, 2, 1]], [10, []], [11, []], [12, []], [25, []], [26, []], [24, []], [23, []], [22, []], [21, []], [27, []], [45, []], [44, []], [50, []], [49, []], [48, []], [47, []], [46, []], [35, []], [34, []], [6, []], [5, []], [3, []], [2, []], [1, []]], [[0, [13, 20, 4, 9, 8, 7, 36, 37, 43, 42, 41, 39, 38, 40, 33, 29, 28, 30, 32, 31, 19, 18, 17, 16, 15, 14]], [13, []], [20, []], [4, []], [9, []], [8, []], [7, []], [36, []], [37, []], [43, []], [42, []], [41, []], [39, []], [38, []], [40, []], [33, []], [29, []], [28, []], [30, []], [32, []], [31, []], [19, []], [18, []], [17, []], [16, []], [15, []], [14, []]]], []]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,(not found),A4L120<=A4L90,0,0,,
10,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,60,3,650,"[[[[0, [10, 11, 12, 25, 26, 24, 23, 22, 21, 27, 45, 44, 50, 49, 48, 47, 46, 35, 34, 6, 5, 3, 2, 1]], [10, []], [11, []], [12, []], [25, []], [26, []], [24, []], [23, []], [22, []], [21, []], [27, []], [45, []], [44, []], [50, []], [49, []], [48, []], [47, []], [46, []], [35, []], [34, []], [6, []], [5, []], [3, []], [2, []], [1, []]], [[0, [13, 20, 4, 9, 8, 7, 36, 37, 43, 42, 41, 39, 38, 40, 33, 29, 28, 30, 32, 31, 19, 18, 17, 16, 15, 14]], [13, []], [20, []], [4, []], [9, []], [8, []], [7, []], [36, []], [37, []], [43, []], [42, []], [41, []], [39, []], [38, []], [40, []], [33, []], [29, []], [28, []], [30, []], [32, []], [31, []], [19, []], [18, []], [17, []], [16, []], [15, []], [14, []]]], []]",,,0,0,0,0,,,,,results/sol_best_C101_1.5.dat_A4_L60_pid2746.txt,,A8L60<=A4L60,0,0,,
