instance,A,L,best_solution,best_fitness,best_multi_solution,best_multi_fitness
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,60,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]]],[[0,[22,23,24,25,26,27,38,37,28,35,36,41,40,39,21,42,43,20,19,18,7,5,6,1]],[22,[]],[23,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[37,[]],[28,[]],[35,[50]],[36,[]],[41,[]],[40,[]],[39,[]],[21,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[7,[]],[5,[]],[6,[]],[1,[]]]],[[[35,[50]]]]]",407,,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,90,"[[[[0,[6,5,7,18,19,20,43,42,39,21,41,40,36,35,28,37,38,27,26,25,24,23,22]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,8,9,11]],[1,[]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[8,[]],[9,[]],[11,[]]]],[[[20,[50]]]]]",407,,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,120,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]]],[[0,[1,6,5,7,18,19,20,43,42,21,39,41,40,36,35,28,37,38,27,26,25,24,23,22]],[1,[]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[21,[]],[39,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]]],[[[20,[50]]]]]",407,"[[[[0,[13,14,12,32,31,10,9,11,29,30,4,3,1,36,35,28,37,38,27,26,25,24,23,22]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[46,47,48,49]],[8,[8]],[11,[]],[29,[]],[30,[]],[46,[]],[47,[]],[48,[]],[49,[]],[4,[]],[3,[]],[1,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[2,5,7,21,39,40,41,42,43,20,19,18,17,34,33,16,15,6]],[2,[]],[5,[50,45,44]],[7,[]],[21,[]],[39,[]],[40,[]],[41,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[17,[]],[45,[]],[44,[]],[34,[]],[33,[]],[16,[]],[15,[]],[6,[]]]],[[[9,[46,47,48,49]]],[[5,[50,45,44]],[8,[8]]]]]",480
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,60,"[[[[0,[1,6,5,7,18,19,20,43,42,41,21,39,40,36,35,28,37,38,27,26,25,24,23,22]],[1,[]],[6,[]],[5,[]],[7,[]],[18,[50]],[19,[]],[20,[]],[50,[]],[43,[]],[42,[]],[41,[]],[21,[]],[39,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,9,8,11]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[18,[50]]]]]",407,"[[[[0,[11,10,9,8,31,32,12,14,13,29,30,34,33,15,16,7,5,6,2,4,3,28,27,26,25,24,23,22]],[11,[]],[10,[]],[9,[]],[8,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[48,49,37,38,36,35]],[30,[]],[49,[]],[48,[]],[34,[]],[33,[]],[15,[]],[16,[]],[7,[]],[5,[]],[6,[]],[2,[]],[4,[]],[3,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,39,21,40,41,42,43,50,20,19,44,45,47,46,17]],[1,[18]],[18,[]],[39,[]],[21,[]],[40,[]],[41,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[44,[]],[45,[]],[47,[]],[46,[]],[17,[]]]],[[[1,[18]],[29,[48,49,37,38,36,35]]]]]",491
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,90,"[[[[0,[6,5,7,18,19,20,43,42,39,21,41,40,36,35,28,37,38,27,26,25,24,23,22]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,9,8,11]],[1,[]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[20,[50]]]]]",407,"[[[[0,[6,7,18,19,20,21,28,27,26,25,24,23,22]],[6,[]],[5,[5]],[7,[]],[18,[]],[19,[]],[20,[50,43,42,39,41,40]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[36,35,37,38]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,13,14,12,10,9,8,11]],[1,[]],[2,[]],[3,[]],[4,[33,34,30,29,32,31]],[15,[]],[16,[]],[17,[]],[33,[44,45,46,47,48,49]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[4,[33,34,30,29,32,31]],[5,[5]]],[[33,[44,45,46,47,48,49]]],[[20,[50,43,42,39,41,40]]],[[40,[36,35,37,38]]]]]",364.355339059
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,120,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2,1]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[22,23,24,25,26,27,38,37,28,35,36,41,40,39,21,42,43,50,20,19,18,7,5,6]],[22,[]],[23,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[37,[]],[28,[]],[35,[]],[36,[]],[41,[]],[40,[]],[39,[]],[21,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[7,[]],[5,[]],[6,[]]]],[]]",407,"[[[[0,[8,12,14,13,11,10,9,4,3]],[8,[]],[12,[28,27,26,25,24,23,22]],[14,[]],[13,[]],[11,[36,35,38,37,31,32,29,30]],[31,[]],[32,[]],[10,[46,47,48,49]],[9,[]],[29,[]],[30,[]],[46,[]],[47,[]],[48,[]],[49,[]],[4,[]],[3,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[2,5,7,21,20,19,18,17,16,15,6,1]],[2,[]],[5,[]],[7,[]],[21,[]],[39,[50,45,44,39,40,41,42,43]],[40,[]],[41,[]],[42,[]],[43,[]],[50,[34,33]],[20,[]],[19,[]],[18,[]],[17,[]],[34,[]],[45,[]],[44,[]],[33,[]],[16,[]],[15,[]],[6,[]],[1,[]]]],[[[12,[28,27,26,25,24,23,22]]],[[11,[36,35,38,37,31,32,29,30]]],[[39,[50,45,44,39,40,41,42,43]]],[[10,[46,47,48,49]],[50,[34,33]]]]]",442.110770276
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,60,"[[[[0,[1,2,3,4,9,5,6,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[5,[]],[6,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",626,,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,90,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",626,"[[[[0,[2,6,1,3,7,8,4,19,18,15,14,20,21,22,24,23]],[13,[13]],[2,[]],[6,[]],[1,[]],[3,[]],[7,[]],[8,[35,34]],[4,[45,44]],[19,[]],[18,[]],[15,[]],[14,[]],[20,[]],[21,[]],[22,[]],[24,[]],[23,[]],[49,[49,48,47]],[48,[]],[47,[]],[45,[]],[44,[]],[35,[]],[34,[]]],[[0,[12,11,10,27,9,5,33,29,28,30,32,31,17,16]],[25,[25]],[26,[38,36,37,26]],[12,[]],[11,[]],[10,[]],[27,[]],[46,[46,50,39]],[50,[]],[9,[43,42,41,40]],[5,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[17,[]],[16,[]]]],[[[13,[13]],[25,[25]]],[[26,[38,36,37,26]]],[[8,[35,34]]],[[4,[45,44]]],[[49,[49,48,47]]],[[46,[46,50,39]]],[[9,[43,42,41,40]]]]]",727.055512755
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,120,"[[[[0,[14,15,16,17,18,19,31,32,30,28,29,33,40,41,42,43,37,36,38,39,34,35,8,7,5,6,9,4,3,2,1]],[14,[]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[31,[]],[32,[]],[30,[]],[28,[]],[29,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[37,[]],[36,[]],[38,[]],[39,[]],[34,[]],[35,[]],[8,[]],[7,[]],[5,[]],[6,[]],[9,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",626,"[[[[0,[2,6,1,3,7,8,4,19,18,15,14,20,21,22,24,23]],[13,[13]],[2,[]],[6,[]],[1,[]],[3,[]],[7,[]],[8,[35,34]],[4,[45,44]],[19,[]],[18,[]],[15,[]],[14,[]],[20,[]],[21,[]],[22,[]],[24,[]],[23,[]],[49,[49,48,47]],[48,[]],[47,[]],[45,[]],[44,[]],[35,[]],[34,[]]],[[0,[12,11,10,27,9,5,33,29,28,30,32,31,17,16]],[25,[25]],[26,[38,36,37,26]],[12,[]],[11,[]],[10,[]],[27,[]],[46,[46,50,39]],[50,[]],[9,[43,42,41,40]],[5,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[17,[]],[16,[]]]],[[[13,[13]],[25,[25]]],[[26,[38,36,37,26]]],[[8,[35,34]]],[[4,[45,44]]],[[49,[49,48,47]]],[[46,[46,50,39]]],[[9,[43,42,41,40]]]]]",727.055512755
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,60,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,36,37,43,42,41,39,38,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[39,[]],[38,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",626,,
