instance,A,L,best_solution,best_multi_solution,best_fitness,best_multi_fitness
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,60,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]]],[[0,[22,23,24,25,26,27,38,37,28,35,36,41,40,39,21,42,43,20,19,18,7,5,6,1]],[22,[]],[23,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[37,[]],[28,[]],[35,[50]],[36,[]],[41,[]],[40,[]],[39,[]],[21,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[7,[]],[5,[]],[6,[]],[1,[]]]],[[[35,[50]]]]]",,407,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,90,"[[[[0,[6,5,7,18,19,20,43,42,39,21,41,40,36,35,28,37,38,27,26,25,24,23,22]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,8,9,11]],[1,[]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[8,[]],[9,[]],[11,[]]]],[[[20,[50]]]]]",,407,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4,120,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]]],[[0,[1,6,5,7,18,19,20,43,42,21,39,41,40,36,35,28,37,38,27,26,25,24,23,22]],[1,[]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[21,[]],[39,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]]],[[[20,[50]]]]]",,407,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,60,"[[[[0,[1,6,5,7,18,19,20,43,42,41,21,39,40,36,35,28,37,38,27,26,25,24,23,22]],[1,[]],[6,[]],[5,[]],[7,[]],[18,[50]],[19,[]],[20,[]],[50,[]],[43,[]],[42,[]],[41,[]],[21,[]],[39,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,9,8,11]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[18,[50]]]]]",,407,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,90,"[[[[0,[6,5,7,18,19,20,43,42,39,21,41,40,36,35,28,37,38,27,26,25,24,23,22]],[6,[]],[5,[]],[7,[]],[18,[]],[19,[]],[20,[50]],[50,[]],[43,[]],[42,[]],[39,[]],[21,[]],[41,[]],[40,[]],[36,[]],[35,[]],[28,[]],[37,[]],[38,[]],[27,[]],[26,[]],[25,[]],[24,[]],[23,[]],[22,[]]],[[0,[1,2,3,4,15,16,17,33,34,44,45,46,47,48,49,30,29,13,14,12,32,31,10,9,8,11]],[1,[]],[2,[]],[3,[]],[4,[]],[15,[]],[16,[]],[17,[]],[33,[]],[34,[]],[44,[]],[45,[]],[46,[]],[47,[]],[48,[]],[49,[]],[30,[]],[29,[]],[13,[]],[14,[]],[12,[]],[32,[]],[31,[]],[10,[]],[9,[]],[8,[]],[11,[]]]],[[[20,[50]]]]]",,407,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8,120,"[[[[0,[11,8,9,10,31,32,12,14,13,29,30,49,48,47,46,45,44,34,33,17,16,15,4,3,2,1]],[11,[]],[8,[]],[9,[]],[10,[]],[31,[]],[32,[]],[12,[]],[14,[]],[13,[]],[29,[]],[30,[]],[49,[]],[48,[]],[47,[]],[46,[]],[45,[]],[44,[]],[34,[]],[33,[]],[17,[]],[16,[]],[15,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[22,23,24,25,26,27,38,37,28,35,36,41,40,39,21,42,43,50,20,19,18,7,5,6]],[22,[]],[23,[]],[24,[]],[25,[]],[26,[]],[27,[]],[38,[]],[37,[]],[28,[]],[35,[]],[36,[]],[41,[]],[40,[]],[39,[]],[21,[]],[42,[]],[43,[]],[50,[]],[20,[]],[19,[]],[18,[]],[7,[]],[5,[]],[6,[]]]],[]]",,407,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,60,"[[[[0,[1,2,3,4,9,5,6,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[5,[]],[6,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,626,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,90,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,39,38,36,37,43,42,41,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[39,[]],[38,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,626,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,4,120,"[[[[0,[14,15,16,17,18,19,31,32,30,28,29,33,40,41,42,43,37,36,38,39,34,35,8,7,5,6,9,4,3,2,1]],[14,[]],[15,[]],[16,[]],[17,[]],[18,[]],[19,[]],[31,[]],[32,[]],[30,[]],[28,[]],[29,[]],[33,[]],[40,[]],[41,[]],[42,[]],[43,[]],[37,[]],[36,[]],[38,[]],[39,[]],[34,[]],[35,[]],[8,[]],[7,[]],[5,[]],[6,[]],[9,[]],[4,[]],[3,[]],[2,[]],[1,[]]],[[0,[13,20,21,49,48,47,46,50,44,45,27,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[49,[]],[48,[]],[47,[]],[46,[]],[50,[]],[44,[]],[45,[]],[27,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,626,
test_data/data_demand_random_50_batch_all1_equal_cluster/C101_1.5.dat,8,60,"[[[[0,[1,2,3,4,9,6,5,7,8,35,34,36,37,43,42,41,39,38,40,33,29,28,30,32,31,19,18,17,16,15,14]],[1,[]],[2,[]],[3,[]],[4,[]],[9,[]],[6,[]],[5,[]],[7,[]],[8,[]],[35,[]],[34,[]],[36,[]],[37,[]],[43,[]],[42,[]],[41,[]],[39,[]],[38,[]],[40,[]],[33,[]],[29,[]],[28,[]],[30,[]],[32,[]],[31,[]],[19,[]],[18,[]],[17,[]],[16,[]],[15,[]],[14,[]]],[[0,[13,20,21,27,45,44,50,46,47,48,49,23,22,24,26,25,12,11,10]],[13,[]],[20,[]],[21,[]],[27,[]],[45,[]],[44,[]],[50,[]],[46,[]],[47,[]],[48,[]],[49,[]],[23,[]],[22,[]],[24,[]],[26,[]],[25,[]],[12,[]],[11,[]],[10,[]]]],[]]",,626,
