job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log
1,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,60.0,1,428.0,"[
    [
        [
            [0, [23, 5, 29, 15, 25, 28, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 12, 1]],
            [23, [32, 33]],
            [5, [39, 36, 37, 38]],
            [29, []],
            [15, []],
            [25, [46, 47, 41]],
            [28, []],
            [46, []],
            [36, []],
            [39, []],
            [27, []],
            [17, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [37, []],
            [12, []],
            [33, []],
            [47, []],
            [1, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 48, 8, 11, 21, 43, 50, 49, 7, 44, 9, 42, 18, 40, 2]],
            [14, []],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [43, []],
            [50, []],
            [49, []],
            [7, []],
            [44, []],
            [9, []],
            [42, []],
            [18, []],
            [40, []],
            [2, []]
        ]
    ],
    [
        [
            [23, [32, 33]]
        ],
        [
            [5, [39, 36, 37, 38]]
        ],
        [
            [25, [46, 47, 41]]
        ]
    ]
]",,,131.4145054088988,0,3,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2664.txt,(not found),C101_0.5.dat_A4_L60_r1.log
1,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,60.0,2,428.0,"[
    [
        [
            [0, [23, 25, 29, 15, 5, 28, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 1]],
            [23, [32, 33]],
            [25, [39, 36, 37, 38]],
            [29, []],
            [15, []],
            [5, [46, 47, 41]],
            [28, []],
            [27, []],
            [17, []],
            [39, []],
            [46, []],
            [36, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, [32]],
            [37, []],
            [33, [33]],
            [47, []],
            [1, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 8, 11, 21, 43, 7, 40, 42, 9, 44, 18, 2, 12]],
            [14, [48, 50, 49]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [40, []],
            [42, []],
            [9, []],
            [44, []],
            [18, []],
            [2, []],
            [12, []]
        ]
    ],
    [
        [
            [23, [32, 33]]
        ],
        [
            [25, [39, 36, 37, 38]]
        ],
        [
            [5, [46, 47, 41]]
        ],
        [
            [14, [48, 50, 49]]
        ]
    ]
]",,,138.6991153959858,0,4,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2666.txt,(not found),C101_0.5.dat_A4_L60_r2.log
1,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,60.0,3,403.69,"[
    [
        [
            [0, [25, 15, 29, 5, 28, 23, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 32, 33]],
            [25, [36, 39, 38]],
            [15, [46, 47, 41]],
            [29, []],
            [5, []],
            [28, []],
            [23, []],
            [46, []],
            [36, []],
            [39, []],
            [27, []],
            [17, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [33, []],
            [47, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 8, 11, 21, 43, 7, 44, 9, 42, 18, 40, 1, 2, 37, 12]],
            [14, [48, 50, 49]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [49, []],
            [7, []],
            [44, []],
            [9, []],
            [42, []],
            [18, []],
            [40, []],
            [1, []],
            [2, []],
            [37, []],
            [12, []]
        ]
    ],
    [
        [
            [25, [36, 39, 38]]
        ],
        [
            [15, [46, 47, 41]]
        ],
        [
            [14, [48, 50, 49]]
        ]
    ]
]",,,148.10040647858557,0,3,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2667.txt,(not found),C101_0.5.dat_A4_L60_r3.log
2,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,90.0,1,401.0,"[
    [
        [
            [0, [23, 28, 25, 15, 29, 5, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13]],
            [23, [32, 33]],
            [28, [39, 36, 37, 38]],
            [25, []],
            [15, []],
            [29, [46, 47, 41]],
            [5, []],
            [46, []],
            [36, []],
            [39, []],
            [27, []],
            [17, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [37, []],
            [33, []],
            [47, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 8, 11, 21, 43, 7, 44, 9, 42, 18, 40, 1, 2, 12]],
            [14, [48, 50, 49]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [44, []],
            [9, []],
            [42, []],
            [18, []],
            [40, []],
            [1, []],
            [2, []],
            [12, []]
        ]
    ],
    [
        [
            [23, [32, 33]]
        ],
        [
            [28, [39, 36, 37, 38]]
        ],
        [
            [29, [46, 47, 41]]
        ],
        [
            [14, [48, 50, 49]]
        ]
    ]
]",,,137.08975063652832,0,4,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L90_pid2744.txt,(not found),C101_0.5.dat_A4_L90_r1.log
2,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,90.0,2,405.0,"[
    [
        [
            [0, [23, 25, 28, 5, 29, 15, 36, 39, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 32, 37, 33, 38]],
            [23, []],
            [25, [46, 47, 41]],
            [28, []],
            [5, []],
            [29, []],
            [15, []],
            [46, []],
            [36, []],
            [39, []],
            [27, []],
            [17, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [37, []],
            [33, []],
            [47, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 8, 11, 21, 45, 43, 7, 44, 9, 42, 18, 40, 1, 2, 12]],
            [14, [48, 50, 49]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [8, []],
            [11, []],
            [21, []],
            [45, []],
            [48, [48]],
            [50, [50]],
            [43, []],
            [7, []],
            [49, [49]],
            [44, []],
            [9, []],
            [42, []],
            [18, []],
            [40, []],
            [1, []],
            [2, []],
            [12, []]
        ]
    ],
    [
        [
            [14, [48, 50, 49]]
        ],
        [
            [25, [46, 47, 41]]
        ]
    ]
]",,,154.84284565383422,0,2,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L90_pid2746.txt,(not found),C101_0.5.dat_A4_L90_r2.log
2,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,90.0,3,430.62,"[
    [
        [
            [0, [25, 15, 29, 5, 28, 23, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 32, 33, 1]],
            [25, [39, 36, 38]],
            [15, [46, 47, 41]],
            [29, []],
            [5, []],
            [28, []],
            [23, []],
            [27, []],
            [17, []],
            [39, []],
            [46, []],
            [36, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [33, []],
            [47, []],
            [1, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 8, 11, 21, 43, 7, 40, 42, 9, 44, 18, 2, 37, 12]],
            [14, [48, 50, 49]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [40, []],
            [42, []],
            [9, []],
            [44, []],
            [18, []],
            [2, []],
            [37, []],
            [12, []]
        ]
    ],
    [
        [
            [25, [39, 36, 38]]
        ],
        [
            [15, [46, 47, 41]]
        ],
        [
            [14, [48, 50, 49]]
        ]
    ]
]",,,148.10040647858557,0,3,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L90_pid2747.txt,(not found),C101_0.5.dat_A4_L90_r3.log
3,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,120.0,1,421.0,"[
    [
        [
            [0, [25, 15, 29, 5, 28, 23, 27, 17, 20, 6, 30, 19, 16, 4, 31, 26, 22, 1, 13, 12]],
            [25, [39, 36, 37, 38]],
            [15, []],
            [29, []],
            [5, [46, 47, 41, 32]],
            [28, []],
            [23, []],
            [27, []],
            [17, []],
            [39, []],
            [46, []],
            [36, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [26, []],
            [22, []],
            [1, []],
            [47, []],
            [13, []],
            [32, []],
            [37, []],
            [12, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 8, 11, 21, 43, 7, 40, 42, 9, 44, 18, 2]],
            [14, [48, 50, 49, 33]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [40, []],
            [42, []],
            [9, []],
            [44, []],
            [18, []],
            [2, []],
            [33, []]
        ]
    ],
    [
        [
            [25, [39, 36, 37, 38]]
        ],
        [
            [5, [46, 47, 41, 32]]
        ],
        [
            [14, [48, 50, 49, 33]]
        ]
    ]
]",,,143.26548719464773,0,3,4.0,,,,,results/sol_best_C101_0.5.dat_A4_L120_pid2737.txt,(not found),C101_0.5.dat_A4_L120_r1.log
3,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,120.0,2,428.0,"[
    [
        [
            [0, [23, 5, 15, 29, 25, 28, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 12, 1]],
            [23, [32, 33]],
            [5, [39, 36, 37, 38]],
            [15, []],
            [29, []],
            [25, [46, 47, 41]],
            [28, []],
            [46, []],
            [36, []],
            [39, []],
            [27, []],
            [17, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [37, []],
            [12, []],
            [33, []],
            [47, []],
            [1, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 48, 8, 11, 21, 50, 43, 7, 49, 44, 9, 42, 18, 40, 2]],
            [14, []],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [44, []],
            [9, []],
            [42, []],
            [18, []],
            [40, []],
            [2, []]
        ]
    ],
    [
        [
            [23, [32, 33]]
        ],
        [
            [5, [39, 36, 37, 38]]
        ],
        [
            [25, [46, 47, 41]]
        ]
    ]
]",,,131.4145054088988,0,3,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L120_pid2739.txt,(not found),C101_0.5.dat_A4_L120_r2.log
3,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,4.0,120.0,3,421.0,"[
    [
        [
            [0, [23, 25, 28, 5, 29, 15, 36, 39, 27, 17, 20, 6, 30, 19, 16, 4, 31, 22, 26, 13, 32, 37, 33, 1, 38]],
            [23, []],
            [25, []],
            [28, [46, 47, 41]],
            [5, []],
            [29, []],
            [15, []],
            [46, []],
            [36, []],
            [39, []],
            [27, []],
            [17, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [37, []],
            [33, []],
            [47, []],
            [1, []],
            [38, []]
        ],
        [
            [0, [14, 3, 10, 24, 35, 34, 45, 8, 11, 21, 43, 7, 40, 42, 9, 44, 18, 2, 12]],
            [14, [48, 50, 49]],
            [3, []],
            [10, []],
            [24, []],
            [35, []],
            [34, []],
            [45, []],
            [48, []],
            [8, []],
            [11, []],
            [21, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [40, []],
            [42, []],
            [9, []],
            [44, []],
            [18, []],
            [2, []],
            [12, []]
        ]
    ],
    [
        [
            [28, [46, 47, 41]]
        ],
        [
            [14, [48, 50, 49]]
        ]
    ]
]",,,156.33873042692198,0,2,3.0,,,,,results/sol_best_C101_0.5.dat_A4_L120_pid2740.txt,(not found),C101_0.5.dat_A4_L120_r3.log
4,test_data/data_demand_random_50_batch_all1_equal_random/C101_0.5.dat,8.0,60.0,1,413.13,"[
    [
        [
            [0, [5, 15, 25, 23, 27, 17, 20, 6, 19, 16, 4, 22, 26, 13, 1]],
            [5, [32, 33, 29, 28, 30, 31]],
            [15, []],
            [29, []],
            [25, [46, 47, 41, 39, 36, 37, 38]],
            [28, []],
            [23, []],
            [27, []],
            [17, []],
            [39, []],
            [46, []],
            [36, []],
            [20, []],
            [6, []],
            [30, []],
            [19, []],
            [16, []],
            [4, []],
            [41, []],
            [31, []],
            [22, []],
            [26, []],
            [13, []],
            [32, []],
            [37, []],
            [33, []],
            [47, []],
            [1, []],
            [38, []]
        ],
        [
            [0, [3, 8, 11, 21, 14, 10, 24, 7, 9, 18, 2, 12]],
            [3, []],
            [8, []],
            [11, []],
            [21, []],
            [14, [48, 50, 49, 45, 43, 44, 40, 42]],
            [10, []],
            [24, []],
            [35, [35, 34]],
            [34, []],
            [45, []],
            [48, []],
            [50, []],
            [43, []],
            [7, []],
            [49, []],
            [40, []],
            [42, []],
            [9, []],
            [44, []],
            [18, []],
            [2, []],
            [12, []]
        ]
    ],
    [
        [
            [5, [32, 33, 29, 28, 30, 31]]
        ],
        [
            [25, [46, 47, 41, 39, 36, 37, 38]]
        ],
        [
            [14, [48, 50, 49, 45, 43, 44, 40, 42]]
        ],
        [
            [35, [35, 34]]
        ]
    ]
]",,,145.3342802031203,0,4,5.75,,,,,results/sol_best_C101_0.5.dat_A8_L60_pid2795.txt,(not found),C101_0.5.dat_A8_L60_r1.log
