job_id,instance,A,L,run_index,best_fitness,best_solution,best_multi_fitness,best_multi_solution,best_drone_avg_trip_time,best_multi_visit_trip_count,best_drone_trip_count,best_avg_customers_per_trip,best_multi_drone_avg_trip_time,best_multi_multi_visit_trip_count,best_multi_drone_trip_count,best_multi_avg_customers_per_trip,best_solution_file,best_multi_solution_file,log
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,60.0,1,471.0,"[
    [
        [
            [0, [11, 8, 9, 10, 31, 32, 12, 14, 13, 29, 30, 33, 16, 7, 5, 15, 4, 3, 2, 1, 28, 27, 26, 25, 24, 23, 22]],
            [11, []],
            [8, [36, 35, 37, 38]],
            [9, []],
            [10, []],
            [31, []],
            [32, []],
            [12, []],
            [14, [48, 49, 47]],
            [13, []],
            [29, []],
            [30, []],
            [49, []],
            [48, []],
            [47, []],
            [33, []],
            [16, []],
            [7, []],
            [5, []],
            [15, []],
            [4, []],
            [3, []],
            [2, []],
            [1, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [18, 21, 39, 40, 41, 42, 43, 50, 20, 19, 44, 45, 46, 34, 17, 6]],
            [18, []],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [44, []],
            [45, []],
            [46, []],
            [34, []],
            [17, []],
            [6, []]
        ]
    ],
    [
        [
            [8, [36, 35, 37, 38]]
        ],
        [
            [14, [48, 49, 47]]
        ]
    ]
]",512.0,"[
    [
        [
            [0, [13, 12, 14, 10, 9, 8, 11, 5, 15, 4, 3, 2, 26, 25, 24, 27, 23, 22, 28, 1]],
            [13, []],
            [12, [31, 32, 30, 29]],
            [31, []],
            [32, []],
            [14, []],
            [10, []],
            [9, [38, 36, 35]],
            [8, []],
            [11, []],
            [29, []],
            [30, [48, 49, 37]],
            [48, []],
            [49, []],
            [5, []],
            [15, []],
            [4, []],
            [3, []],
            [2, []],
            [26, []],
            [25, []],
            [24, []],
            [38, []],
            [27, []],
            [23, []],
            [22, []],
            [35, []],
            [28, []],
            [37, []],
            [36, []],
            [1, []]
        ],
        [
            [0, [6, 39, 21, 40, 41, 42, 43, 50, 20, 19, 17, 46, 47, 45, 44, 34, 33, 16, 7]],
            [6, [18]],
            [18, []],
            [39, []],
            [21, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [17, []],
            [46, []],
            [47, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [7, []]
        ]
    ],
    [
        [
            [12, [31, 32, 30, 29]]
        ],
        [
            [9, [38, 36, 35]]
        ],
        [
            [6, [18]],
            [30, [48, 49, 37]]
        ]
    ]
]",138.61624859633167,0,2,3.5,152.41410291818983,1,3,3.6666666666666665,results/sol_best_C101_0.5.dat_A4_L60_pid2771.txt,results/sol_best_multi_C101_0.5.dat_A4_L60_pid2771.txt,C101_0.5.dat_A4_L60_r1.log
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,60.0,2,491.0,"[
    [
        [
            [0, [11, 9, 8, 10, 31, 32, 12, 14, 13, 29, 30, 49, 48, 47, 46, 16, 15, 4, 3, 1, 35, 36, 37, 28, 38, 27, 26, 25, 24, 23, 22]],
            [11, []],
            [9, []],
            [8, []],
            [10, []],
            [31, []],
            [32, []],
            [12, []],
            [14, []],
            [13, []],
            [29, []],
            [30, []],
            [49, []],
            [48, []],
            [47, []],
            [46, []],
            [16, []],
            [15, []],
            [4, []],
            [3, []],
            [1, []],
            [35, []],
            [36, []],
            [37, []],
            [28, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [6, 21, 39, 40, 41, 42, 43, 50, 20, 19, 18, 17, 45, 44, 34, 33, 7, 5, 2]],
            [6, []],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [7, []],
            [5, []],
            [2, []]
        ]
    ],
    [
    ]
]",,,0.0,0,0,0.0,,,,,results/sol_best_C101_0.5.dat_A4_L60_pid2772.txt,(not found),C101_0.5.dat_A4_L60_r2.log
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,90.0,1,468.0,"[
    [
        [
            [0, [13, 11, 9, 8, 10, 12, 14, 4, 3, 1, 28, 27, 26, 25, 24, 23, 22]],
            [13, [32, 31, 29, 30]],
            [29, []],
            [11, [37, 38, 36, 35]],
            [9, []],
            [8, []],
            [10, []],
            [31, []],
            [32, [46, 47, 48, 49]],
            [12, []],
            [14, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [3, []],
            [1, []],
            [35, []],
            [28, []],
            [27, []],
            [38, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [37, []],
            [36, []],
            [22, []]
        ],
        [
            [0, [6, 18, 19, 21, 39, 40, 41, 42, 43, 20, 34, 33, 17, 15, 16, 7, 5, 2]],
            [6, []],
            [18, []],
            [19, []],
            [21, []],
            [39, [50, 45, 44]],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [44, []],
            [45, []],
            [34, []],
            [33, []],
            [17, []],
            [15, []],
            [16, []],
            [7, []],
            [5, []],
            [2, []]
        ]
    ],
    [
        [
            [13, [32, 31, 29, 30]]
        ],
        [
            [11, [37, 38, 36, 35]]
        ],
        [
            [32, [46, 47, 48, 49]]
        ],
        [
            [39, [50, 45, 44]]
        ]
    ]
]",,,150.58726875151174,0,4,3.75,,,,,results/sol_best_C101_0.5.dat_A4_L90_pid2693.txt,(not found),C101_0.5.dat_A4_L90_r1.log
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,90.0,2,471.0,"[
    [
        [
            [0, [8, 13, 14, 12, 10, 9, 11, 15, 16, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]],
            [8, [32, 31, 29, 30]],
            [13, []],
            [14, [36, 35, 38, 37]],
            [12, []],
            [32, []],
            [31, []],
            [10, [46, 47, 48, 49]],
            [9, []],
            [11, []],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [15, []],
            [16, []],
            [4, []],
            [3, []],
            [36, []],
            [37, []],
            [38, []],
            [28, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [35, []],
            [1, []]
        ],
        [
            [0, [6, 18, 39, 21, 40, 41, 42, 43, 50, 20, 19, 45, 44, 34, 33, 17, 7, 5, 2]],
            [6, []],
            [18, []],
            [39, []],
            [21, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [17, []],
            [7, []],
            [5, []],
            [2, []]
        ]
    ],
    [
        [
            [8, [32, 31, 29, 30]]
        ],
        [
            [14, [36, 35, 38, 37]]
        ],
        [
            [10, [46, 47, 48, 49]]
        ]
    ]
]",493.0,"[
    [
        [
            [0, [8, 11, 13, 14, 12, 9, 10, 4, 3, 27, 26, 25, 24, 23, 22, 1]],
            [8, [32, 31, 29, 30]],
            [11, []],
            [13, []],
            [14, [36, 35, 38, 37]],
            [12, []],
            [31, []],
            [32, []],
            [9, [46, 47, 48, 49]],
            [10, []],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, [28]],
            [3, []],
            [36, []],
            [38, []],
            [37, []],
            [28, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [35, []],
            [1, []]
        ],
        [
            [0, [6, 18, 39, 19, 21, 40, 41, 42, 43, 20, 34, 33, 17, 16, 15, 7, 5, 2]],
            [6, []],
            [18, []],
            [39, []],
            [19, []],
            [21, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, [50]],
            [20, [45, 44]],
            [44, []],
            [45, []],
            [34, []],
            [33, []],
            [17, []],
            [16, []],
            [15, []],
            [7, []],
            [5, []],
            [2, []]
        ]
    ],
    [
        [
            [8, [32, 31, 29, 30]]
        ],
        [
            [14, [36, 35, 38, 37]]
        ],
        [
            [9, [46, 47, 48, 49]]
        ],
        [
            [50, [50]]
        ],
        [
            [20, [45, 44]],
            [4, [28]]
        ]
    ]
]",122.11442248964606,0,3,4.0,197.13366028615062,1,5,3.2,results/sol_best_C101_0.5.dat_A4_L90_pid2694.txt,results/sol_best_multi_C101_0.5.dat_A4_L90_pid2694.txt,C101_0.5.dat_A4_L90_r2.log
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,120.0,1,480.0,"[
    [
        [
            [0, [11, 13, 14, 12, 10, 32, 31, 9, 8, 29, 30, 4, 3, 36, 35, 28, 37, 38, 27, 26, 25, 24, 23, 22, 1]],
            [11, []],
            [13, []],
            [14, []],
            [12, []],
            [10, [46, 47, 48, 49]],
            [32, []],
            [31, []],
            [9, []],
            [8, []],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [3, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [1, []]
        ],
        [
            [0, [2, 5, 7, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 16, 15, 6]],
            [2, []],
            [5, [50, 45, 44]],
            [7, []],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [15, []],
            [6, []]
        ]
    ],
    [
        [
            [10, [46, 47, 48, 49]]
        ],
        [
            [5, [50, 45, 44]]
        ]
    ]
]",480.0,"[
    [
        [
            [0, [13, 14, 12, 32, 31, 10, 9, 11, 29, 30, 4, 3, 1, 36, 35, 28, 37, 38, 27, 26, 25, 24, 23, 22]],
            [13, []],
            [14, []],
            [12, []],
            [32, []],
            [31, []],
            [10, []],
            [9, [46, 47, 48, 49]],
            [8, [8]],
            [11, []],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [3, []],
            [1, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [2, 5, 7, 21, 39, 40, 41, 42, 43, 20, 19, 18, 17, 34, 33, 16, 15, 6]],
            [2, []],
            [5, [50, 45, 44]],
            [7, []],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [15, []],
            [6, []]
        ]
    ],
    [
        [
            [9, [46, 47, 48, 49]]
        ],
        [
            [5, [50, 45, 44]],
            [8, [8]]
        ]
    ]
]",152.1217581133482,0,2,3.5,174.62863072350933,1,2,4.0,results/sol_best_C101_0.5.dat_A4_L120_pid2812.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2812.txt,C101_0.5.dat_A4_L120_r1.log
3,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,4.0,120.0,2,472.0,"[
    [
        [
            [0, [11, 13, 14, 12, 32, 31, 10, 8, 9, 29, 30, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]],
            [11, [36, 35, 38, 37]],
            [13, []],
            [14, []],
            [12, []],
            [32, []],
            [31, []],
            [10, [46, 47, 48, 49]],
            [8, []],
            [9, []],
            [29, []],
            [30, []],
            [46, [15]],
            [47, []],
            [48, []],
            [49, []],
            [15, []],
            [4, []],
            [3, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [1, []]
        ],
        [
            [0, [6, 18, 19, 21, 39, 40, 41, 42, 43, 20, 17, 34, 33, 16, 7, 5, 2]],
            [6, []],
            [18, []],
            [19, [50, 45, 44]],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [17, []],
            [34, []],
            [45, []],
            [44, []],
            [33, []],
            [16, []],
            [7, []],
            [5, []],
            [2, []]
        ]
    ],
    [
        [
            [11, [36, 35, 38, 37]]
        ],
        [
            [10, [46, 47, 48, 49]]
        ],
        [
            [19, [50, 45, 44]],
            [46, [15]]
        ]
    ]
]",472.0,"[
    [
        [
            [0, [11, 13, 14, 12, 32, 31, 10, 8, 9, 29, 30, 4, 3, 28, 27, 26, 25, 24, 23, 22, 1]],
            [11, [36, 35, 38, 37]],
            [13, []],
            [14, []],
            [12, []],
            [32, []],
            [31, []],
            [10, [46, 47, 48, 49]],
            [8, []],
            [9, []],
            [29, []],
            [30, []],
            [46, [15]],
            [47, []],
            [48, []],
            [49, []],
            [15, []],
            [4, []],
            [3, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [1, []]
        ],
        [
            [0, [6, 18, 19, 21, 39, 40, 41, 42, 43, 20, 17, 34, 33, 16, 7, 5, 2]],
            [6, []],
            [18, []],
            [19, [50, 45, 44]],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [17, []],
            [34, []],
            [45, []],
            [44, []],
            [33, []],
            [16, []],
            [7, []],
            [5, []],
            [2, []]
        ]
    ],
    [
        [
            [11, [36, 35, 38, 37]]
        ],
        [
            [10, [46, 47, 48, 49]]
        ],
        [
            [19, [50, 45, 44]],
            [46, [15]]
        ]
    ]
]",174.72209434363822,1,3,4.0,174.72209434363822,1,3,4.0,results/sol_best_C101_0.5.dat_A4_L120_pid2813.txt,results/sol_best_multi_C101_0.5.dat_A4_L120_pid2813.txt,C101_0.5.dat_A4_L120_r2.log
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8.0,60.0,1,463.0,"[
    [
        [
            [0, [8, 9, 10, 11, 12, 13, 14, 7, 5, 4, 1]],
            [8, []],
            [9, []],
            [10, []],
            [11, [27, 28, 26, 23, 25, 24, 22, 17]],
            [31, [32, 31, 29, 30]],
            [32, []],
            [12, []],
            [13, []],
            [14, []],
            [29, []],
            [30, [49, 37, 38, 36, 35, 48, 47, 34]],
            [49, []],
            [48, []],
            [47, []],
            [34, []],
            [17, []],
            [16, [16]],
            [7, []],
            [5, []],
            [4, []],
            [36, []],
            [37, []],
            [28, []],
            [27, []],
            [38, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [35, []],
            [1, []]
        ],
        [
            [0, [2, 3, 15, 33, 46, 45, 44, 20, 50, 43, 42, 41, 40, 39, 21, 19, 18, 6]],
            [2, []],
            [3, []],
            [15, []],
            [33, []],
            [46, []],
            [45, []],
            [44, []],
            [20, []],
            [50, []],
            [43, []],
            [42, []],
            [41, []],
            [40, []],
            [39, []],
            [21, []],
            [19, []],
            [18, []],
            [6, []]
        ]
    ],
    [
        [
            [11, [27, 28, 26, 23, 25, 24, 22, 17]]
        ],
        [
            [31, [32, 31, 29, 30]]
        ],
        [
            [30, [49, 37, 38, 36, 35, 48, 47, 34]]
        ],
        [
            [16, [16]]
        ]
    ]
]",,,149.5121173858318,0,4,5.25,,,,,results/sol_best_C101_0.5.dat_A8_L60_pid2806.txt,(not found),C101_0.5.dat_A8_L60_r1.log
4,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8.0,60.0,2,483.0,"[
    [
        [
            [0, [11, 9, 8, 10, 31, 32, 12, 14, 13, 29, 30, 34, 33, 15, 16, 7, 5, 6, 2, 4, 3, 28, 27, 26, 25, 24, 23, 22]],
            [11, []],
            [9, []],
            [8, []],
            [10, []],
            [31, []],
            [32, []],
            [12, []],
            [14, []],
            [13, []],
            [29, [48, 49, 37, 38, 36, 35]],
            [30, []],
            [49, []],
            [48, []],
            [34, []],
            [33, []],
            [15, []],
            [16, []],
            [7, []],
            [5, []],
            [6, []],
            [2, []],
            [4, []],
            [3, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [1, 18, 39, 21, 40, 41, 42, 43, 50, 20, 19, 44, 45, 47, 46, 17]],
            [1, []],
            [18, []],
            [39, []],
            [21, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [44, []],
            [45, []],
            [47, []],
            [46, []],
            [17, []]
        ]
    ],
    [
        [
            [29, [48, 49, 37, 38, 36, 35]]
        ]
    ]
]",491.0,"[
    [
        [
            [0, [11, 10, 9, 8, 31, 32, 12, 14, 13, 29, 30, 34, 33, 15, 16, 7, 5, 6, 2, 4, 3, 28, 27, 26, 25, 24, 23, 22]],
            [11, []],
            [10, []],
            [9, []],
            [8, []],
            [31, []],
            [32, []],
            [12, []],
            [14, []],
            [13, []],
            [29, [48, 49, 37, 38, 36, 35]],
            [30, []],
            [49, []],
            [48, []],
            [34, []],
            [33, []],
            [15, []],
            [16, []],
            [7, []],
            [5, []],
            [6, []],
            [2, []],
            [4, []],
            [3, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [1, 39, 21, 40, 41, 42, 43, 50, 20, 19, 44, 45, 47, 46, 17]],
            [1, [18]],
            [18, []],
            [39, []],
            [21, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [19, []],
            [44, []],
            [45, []],
            [47, []],
            [46, []],
            [17, []]
        ]
    ],
    [
        [
            [1, [18]],
            [29, [48, 49, 37, 38, 36, 35]]
        ]
    ]
]",168.76305461424022,0,1,6.0,176.76305461424022,1,1,7.0,results/sol_best_C101_0.5.dat_A8_L60_pid2807.txt,results/sol_best_multi_C101_0.5.dat_A8_L60_pid2807.txt,C101_0.5.dat_A8_L60_r2.log
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8.0,90.0,1,442.53,"[
    [
        [
            [0, [4]],
            [12, [12, 9, 8, 10, 13, 14, 11]],
            [9, []],
            [8, []],
            [10, [28, 27, 26, 25, 24, 23, 22]],
            [13, []],
            [14, [36, 35, 38, 37, 31, 32, 29, 30]],
            [32, []],
            [31, []],
            [11, [46, 47, 48, 49]],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [5, 2, 7, 6]],
            [3, [3]],
            [1, [21, 20, 19, 18, 17, 16, 15, 1]],
            [5, []],
            [2, []],
            [7, []],
            [21, [50, 45, 44, 39, 40, 41, 42, 43]],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, [34, 33]],
            [20, []],
            [19, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [15, []],
            [6, []]
        ]
    ],
    [
        [
            [3, [3]],
            [12, [12, 9, 8, 10, 13, 14, 11]]
        ],
        [
            [1, [21, 20, 19, 18, 17, 16, 15, 1]]
        ],
        [
            [10, [28, 27, 26, 25, 24, 23, 22]]
        ],
        [
            [14, [36, 35, 38, 37, 31, 32, 29, 30]]
        ],
        [
            [21, [50, 45, 44, 39, 40, 41, 42, 43]]
        ],
        [
            [11, [46, 47, 48, 49]]
        ],
        [
            [50, [34, 33]]
        ]
    ]
]",442.52610922848,"[
    [
        [
            [0, [4]],
            [12, [12, 9, 8, 10, 13, 14, 11]],
            [9, []],
            [8, []],
            [10, [28, 27, 26, 25, 24, 23, 22]],
            [13, []],
            [14, [36, 35, 38, 37, 31, 32, 29, 30]],
            [32, []],
            [31, []],
            [11, [46, 47, 48, 49]],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [36, []],
            [35, []],
            [28, []],
            [37, []],
            [38, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []]
        ],
        [
            [0, [5, 2, 7, 6]],
            [3, [3]],
            [1, [21, 20, 19, 18, 17, 16, 15, 1]],
            [5, []],
            [2, []],
            [7, []],
            [21, [50, 45, 44, 39, 40, 41, 42, 43]],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, [34, 33]],
            [20, []],
            [19, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [15, []],
            [6, []]
        ]
    ],
    [
        [
            [3, [3]],
            [12, [12, 9, 8, 10, 13, 14, 11]]
        ],
        [
            [1, [21, 20, 19, 18, 17, 16, 15, 1]]
        ],
        [
            [10, [28, 27, 26, 25, 24, 23, 22]]
        ],
        [
            [14, [36, 35, 38, 37, 31, 32, 29, 30]]
        ],
        [
            [21, [50, 45, 44, 39, 40, 41, 42, 43]]
        ],
        [
            [11, [46, 47, 48, 49]]
        ],
        [
            [50, [34, 33]]
        ]
    ]
]",110.83665307645352,1,7,6.428571428571429,110.83665307645352,1,7,6.428571428571429,results/sol_best_C101_0.5.dat_A8_L90_pid2665.txt,results/sol_best_multi_C101_0.5.dat_A8_L90_pid2665.txt,C101_0.5.dat_A8_L90_r1.log
5,test_data/data_demand_random_50_batch_all1_equal_cluster/C101_0.5.dat,8.0,90.0,2,450.39,"[
    [
        [
            [0, [4, 3, 1]],
            [14, [14, 8, 13, 12, 11, 10, 9]],
            [8, [28, 27, 26, 25, 24, 23, 22]],
            [13, []],
            [12, []],
            [11, [36, 35, 38, 37, 32, 31, 29, 30]],
            [32, []],
            [31, []],
            [10, [46, 47, 48, 49]],
            [9, []],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [3, []],
            [36, []],
            [38, []],
            [37, []],
            [28, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [35, []],
            [1, []]
        ],
        [
            [0, [2, 5, 7, 19, 21, 20, 18, 17, 34, 33, 16, 15, 6]],
            [2, []],
            [5, []],
            [7, []],
            [19, [50, 45, 44, 39, 40, 41, 42, 43]],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, []],
            [50, []],
            [20, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [15, []],
            [6, []]
        ]
    ],
    [
        [
            [14, [14, 8, 13, 12, 11, 10, 9]]
        ],
        [
            [8, [28, 27, 26, 25, 24, 23, 22]]
        ],
        [
            [11, [36, 35, 38, 37, 32, 31, 29, 30]]
        ],
        [
            [10, [46, 47, 48, 49]]
        ],
        [
            [19, [50, 45, 44, 39, 40, 41, 42, 43]]
        ]
    ]
]",454.11,"[
    [
        [
            [0, [4, 3, 1]],
            [14, [14, 8, 13, 12, 11, 10, 9]],
            [8, [28, 27, 26, 25, 24, 23, 22]],
            [13, []],
            [12, []],
            [11, [36, 35, 38, 37, 32, 31, 29, 30]],
            [32, []],
            [31, []],
            [10, [46, 47, 48, 49]],
            [9, []],
            [29, []],
            [30, []],
            [46, []],
            [47, []],
            [48, []],
            [49, []],
            [4, []],
            [3, []],
            [36, []],
            [38, []],
            [37, []],
            [28, []],
            [27, []],
            [26, []],
            [25, []],
            [24, []],
            [23, []],
            [22, []],
            [35, []],
            [1, []]
        ],
        [
            [0, [7, 2, 19, 21, 20, 18, 17, 16, 15, 6]],
            [7, []],
            [2, []],
            [5, [5]],
            [19, [50, 45, 44, 39, 40, 41, 42, 43]],
            [21, []],
            [39, []],
            [40, []],
            [41, []],
            [42, []],
            [43, [34, 33]],
            [50, []],
            [20, []],
            [18, []],
            [17, []],
            [45, []],
            [44, []],
            [34, []],
            [33, []],
            [16, []],
            [15, []],
            [6, []]
        ]
    ],
    [
        [
            [14, [14, 8, 13, 12, 11, 10, 9]]
        ],
        [
            [8, [28, 27, 26, 25, 24, 23, 22]],
            [5, [5]]
        ],
        [
            [11, [36, 35, 38, 37, 32, 31, 29, 30]]
        ],
        [
            [19, [50, 45, 44, 39, 40, 41, 42, 43]]
        ],
        [
            [10, [46, 47, 48, 49]]
        ],
        [
            [43, [34, 33]]
        ]
    ]
]",111.9463073900683,0,5,6.8,137.66043220108634,1,6,6.166666666666667,results/sol_best_C101_0.5.dat_A8_L90_pid2666.txt,results/sol_best_multi_C101_0.5.dat_A8_L90_pid2666.txt,C101_0.5.dat_A8_L90_r2.log
